location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,percent_total_cases,percent_total_deaths
United States,103436829,1142574,338289856,305763.9097519968,3377.50003358067,13.42,1.1
China,99311020,121722,1425887360,69648.57308223842,85.36578934257471,12.89,0.12
India,44998525,532031,1417173120,31752.313365921025,375.4170838351775,5.84,1.18
France,38997490,167985,67813000,575073.9533717723,2477.1798917611663,5.06,0.43
Germany,38437756,174979,83369840,461051.0947364179,2098.828545190923,4.99,0.46
Brazil,37511921,702116,215313504,174220.01083592046,3260.9009047570003,4.87,1.87
South Korea,34571873,35934,51815808,667207.0615978815,693.4949272623521,4.49,0.1
Japan,33803572,74694,123951696,272715.6875691318,602.6057118250322,4.39,0.22
Italy,26060998,191650,59037472,441431.4691523376,3246.243335080472,3.38,0.74
Global,770653039,6972044,8045247353,95789.8502291083,866.6040575371729,100.0,0.9
